message_id,type,file_path,transcription,caption,priority
img_1,image,dataset/images/img_001.jpg,,Image showing img_001,normal
img_2,image,dataset/images/img_002.jpg,,Image showing img_002,normal
img_3,image,dataset/images/img_003.jpg,,Image showing img_003,normal
img_4,image,dataset/images/img_004.jpg,,Image showing img_004,normal
img_5,image,dataset/images/img_005.jpg,,Image showing img_005,normal
img_6,image,dataset/images/img_006.jpg,,Image showing img_006,normal
img_7,image,dataset/images/img_007.jpg,,Image showing img_007,normal
img_8,image,dataset/images/img_008.jpg,,Image showing img_008,normal
img_9,image,dataset/images/img_010.jpg,,Image showing img_010,normal
img_10,image,dataset/images/img_011.jpg,,Document image with critical information,urgent
img_11,image,dataset/images/img_012.jpg,,Image showing img_012,normal
img_12,image,dataset/images/img_013.jpg,,Image showing img_013,normal
img_13,image,dataset/images/img_014.jpg,,Image showing img_014,normal
img_14,image,dataset/images/img_016.jpg,,Image showing img_016,normal
img_15,image,dataset/images/img_020.jpg,,Image showing img_020,normal
img_16,image,dataset/images/img_022.jpg,,Document image with critical information,urgent
img_17,image,dataset/images/img_023.jpg,,Image showing img_023,normal
img_18,image,dataset/images/img_024.jpg,,Image showing img_024,normal
img_19,image,dataset/images/img_025.jpg,,Image showing img_025,normal
img_20,image,dataset/images/img_026.jpg,,Image showing img_026,normal
vn_1,voice,dataset/voice_notes/vn_001.mp3,Sample transcription for vn_001.mp3,,normal
vn_2,voice,dataset/voice_notes/vn_002.mp3,Sample transcription for vn_002.mp3,,normal
vn_3,voice,dataset/voice_notes/vn_003.mp3,Sample transcription for vn_003.mp3,,normal
vn_4,voice,dataset/voice_notes/vn_004.mp3,Sample transcription for vn_004.mp3,,normal
vn_5,voice,dataset/voice_notes/vn_005.mp3,"please respond asap, this is important",,urgent
vn_6,voice,dataset/voice_notes/vn_006.mp3,Sample transcription for vn_006.mp3,,normal
vn_7,voice,dataset/voice_notes/vn_007.mp3,Sample transcription for vn_007.mp3,,normal
vn_8,voice,dataset/voice_notes/vn_008.mp3,Sample transcription for vn_008.mp3,,normal
vn_9,voice,dataset/voice_notes/vn_009.mp3,Sample transcription for vn_009.mp3,,normal
vn_10,voice,dataset/voice_notes/vn_012.mp3,"please respond asap, this is important",,urgent
vn_11,voice,dataset/voice_notes/vn_013.mp3,Sample transcription for vn_013.mp3,,normal
vn_12,voice,dataset/voice_notes/vn_014.mp3,Sample transcription for vn_014.mp3,,normal
vn_13,voice,dataset/voice_notes/vn_015.mp3,Sample transcription for vn_015.mp3,,normal
